Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
uk.search.yahoo.com / referral,1,0,1,0.0,6.0,184.0,0.0,0,0.0
upload.facebook.com / referral,1,1,1,0.0,4.0,68.0,0.0,0,0.0
us.search.yahoo.com / referral,1,1,1,1.0,1.0,0.0,0.0,0,0.0
vi.m.wikipedia.org / local_display,1,0,8,0.75,2.25,36.75,0.0,0,0.0
vietfones.vn / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
vietlott.vn / local_display,1,0,51,0.6470588235294118,1.803921568627451,75.56862745098039,0.0,0,0.0
vietnamnet.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
vn.indeed.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
wap.sogou.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
web.start.fyi / local_display,1,0,22,0.36363636363636365,2.6363636363636362,237.8181818181818,0.0,0,0.0
www-dienmayxanh-com.cdn.ampproject.org / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
xiaomiviet.vn / local_display,1,0,2,0.0,4.5,113.0,0.0,0,0.0
xnxx.com / local_display,1,0,2,0.5,1.5,6.0,0.0,0,0.0
zalo / (not set),1,1,1,1.0,1.0,0.0,0.0,0,0.0
,657602,530065,1261203,0.6680264794803057,3.1865227088739876,154.4947427178654,0.007989990509061587,10077,10041473652.0
